Dose,Geography Type,School Year,Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type,Vax,State,Perc,SUMLEV,REGION,DIVISION,STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,Population,state_postal,total_area_rank,total_area_sq_mi,total_area_km2,land_area_rank,land_area_km2,percent_land,water_area_rank,water_area_sq_mi,water_area_km2,percent_water,Area
,States,2023-24,58069.0,26.7,†,,Stratified 1-stage cluster sample,MMR,South Carolina,92.1,40,3,5,45,5118252,5132249,5194274,5287935,5387830,13997,62025,93661,99895,91001,13492,55815,57613,58152,57999,14075,64948,64615,58965,58516,-583,-9133,-7002,-813,-517,340,4027,13865,19225,23234,14991,67887,83940,80092,68043,15331,71914,97805,99317,91277,-751,-756,2858,1391,241,10.810027732,10.992530296,10.894207581,10.674668143,12.578870933,12.328508237,11.046515168,10.769821567,-1.768843201,-1.335977941,-0.152307586,-0.095153424,0.7799333813,2.6454347552,3.6016154346,4.2761985489,13.148084791,16.015708139,15.004451672,12.523258064,13.928018172,18.661142895,18.606067106,16.799456613,5478831,SC,40,32020.49,82933,40,77857,0.9388,21,1959.79,5076,0.0612,30060.7
,States,2023-24,10539.0,97.8,‡. §,,Census,MMR,Rhode Island,97.1,40,1,1,44,1097354,1096530,1097246,1099498,1103429,-824,716,2252,3931,8879,2546,10031,10445,10063,9924,3390,11327,11103,10508,10286,-844,-1296,-658,-445,-362,78,1070,8346,7852,9525,-373,356,-5028,-3281,-305,-295,1426,3318,4571,9220,315,586,-408,-195,21,9.1449628403,9.5095286479,9.1360267499,8.9577418259,10.326487299,10.108597087,9.5400346902,9.2844954072,-1.181524458,-0.599068439,-0.40400794,-0.326753581,0.9754870142,7.5985185347,7.1286974103,8.5975907791,0.324554558,-4.577684063,-2.978764162,-0.275303432,1.3000415722,3.0208344714,4.1499332479,8.3222873473,1112308,RI,50,1544.89,4001,50,2678,0.6692,43,511.07,1324,0.3308,1033.81
,States,2023-24,11043.0,11.5,>=. ‡,,Stratified 2-stage cluster sample,MMR,Delaware,93.8,40,3,5,10,989955,991928,1005062,1020625,1036423,1973,13134,15563,15798,15494,2579,10174,10849,10718,10437,2959,11233,11511,10920,10458,-380,-1059,-662,-202,-21,64,939,3477,5985,7283,2232,13461,12578,9931,8155,2296,14400,16055,15916,15438,57,-207,170,84,77,10.189334949,10.711427777,10.420758291,9.9954988172,11.249931146,11.365033196,10.617156236,10.015610485,-1.060596197,-0.653605419,-0.196397945,-0.020111668,0.9404153251,3.4329094278,5.8190183214,6.9749178774,13.48128934,12.418502957,9.6555841186,7.8100309337,14.421704666,15.851412385,15.47460244,14.784948811,1051917,DE,49,2488.72,6446,49,5047,0.7829,40,540.18,1399,0.2171,1948.54
,States,2023-24,39568.0,100.0,*. ‡,,Census,MMR,Oregon,91.2,40,4,9,41,4237224,4243779,4254280,4247372,4253653,6555,10501,-6908,6281,18718,10281,39659,40450,38835,38788,9566,41952,46451,43502,42519,715,-2293,-6001,-4667,-3731,177,2609,7458,19246,23590,5732,9304,-7730,-8014,-1162,5909,11913,-272,11232,22428,-69,881,-635,-284,21,9.3336607807,9.5157976356,9.1365452989,9.0987311319,9.8733134237,10.927523263,10.234530542,9.9739339228,-0.539652643,-1.411725627,-1.097985243,-0.875202791,0.6140225668,1.7544825406,4.5279245738,5.5336461638,2.1896764897,-1.818470104,-1.885419699,-0.272577229,2.8036990565,-0.063987564,2.6425048744,5.2610689344,4272371,OR,9,98378.54,254799,10,248608,0.9757,20,2390.53,6191,0.0243,95988.01
,States,2023-24,12087.0,93.0,,,Census,MMR,Maine,97.5,40,1,1,23,1363196,1364571,1378931,1390922,1399646,1375,14360,11991,8724,5366,2997,11590,12059,11919,11609,3714,16131,17966,17061,16766,-717,-4541,-5907,-5142,-5157,60,1012,3255,4277,5196,1810,18016,14379,9598,5329,1870,19028,17634,13875,10525,222,-127,264,-9,-2,8.4490552586,8.7073212911,8.5423469344,8.2783711953,11.759422811,12.972529589,12.227618177,11.955824917,-3.310367552,-4.265208298,-3.685271242,-3.677453722,0.7377432202,2.3503052328,3.0653257688,3.7052645991,13.133578908,10.382500443,6.8788863056,3.8001068223,13.871322128,12.732805676,9.9442120744,7.5053714214,1405012,ME,39,35379.74,91633,39,79883,0.8718,12,4536.82,11750,0.1282,30842.92
,States,2023-24,133716.0,94.0,,,"Census (pub.), vol. response (prv.)",MMR,Ohio,89.2,40,2,3,39,11799453,11798905,11767344,11777874,11824034,-548,-31561,10530,46160,59270,32340,128271,128860,128794,126575,33751,146873,149198,131659,127000,-1411,-18602,-20338,-2865,-425,517,9278,40470,51631,62378,-2752,-26839,-4998,-967,-2462,-2235,-17561,35472,50664,59916,3098,4602,-4604,-1639,-221,10.885992081,10.94574703,10.913863405,10.678128434,12.464690499,12.67331651,11.156640387,10.713982312,-1.578698417,-1.727569479,-0.242776982,-0.035853878,0.7873972646,3.4376407133,4.3751547544,5.2623369186,-2.277748996,-0.424544806,-0.081942528,-0.207699405,-1.490351731,3.0130959076,4.2932122267,5.0546375135,11883304,OH,34,44825.58,116098,35,105829,0.9115,14,3964.89,10269,0.0885,40860.69
,States,2023-24,66032.0,99.1,,,Census,MMR,Minnesota,87.0,40,2,4,27,5706692,5710735,5718660,5721621,5753048,4043,7925,2961,31427,40103,16460,63012,64651,63128,61438,12738,51412,53371,49940,49658,3722,11600,11280,13188,11780,295,5523,21405,24328,29540,-1414,-10549,-29472,-5334,-1161,-1119,-5026,-8067,18994,28379,1440,1351,-252,-755,-56,11.026305417,11.302344759,11.003018911,10.642116943,8.9964516932,9.3303652244,8.7043905144,8.6016185933,2.0298537237,1.9719795344,2.2986283962,2.0404983493,0.9664553548,3.7420409516,4.2402966046,5.1168354192,-1.845941977,-5.152320996,-0.92970002,-0.201105143,-0.879486622,-1.410280045,3.3105965845,4.9157302763,5793151,MN,12,86935.83,225163,14,206232,0.9159,9,7309.09,18930,0.0841,79626.74
,States,2023-24,11744.0,99.8,§,,Census,MMR,South Dakota,90.8,40,2,4,46,886729,887948,896492,909723,918305,1219,8544,13231,8582,6364,2832,11064,11254,11171,11311,2021,9769,9207,8525,8723,811,1295,2047,2646,2588,64,1101,2570,1314,1616,325,6124,8253,4536,2132,389,7225,10823,5850,3748,19,24,361,86,28,12.400529018,12.461417938,12.22191345,12.274725525,10.949093273,10.194799622,9.326990615,9.4662214443,1.4514357445,2.2666183151,2.8949228349,2.8085040809,1.2340005828,2.8457298827,1.4376147411,1.7536872468,6.863777992,9.1384469734,4.9627248598,2.313651739,8.0977785748,11.984176856,6.4003396009,4.0673389858,924669,SD,17,77115.68,199729,16,196350,0.9831,29,1304.68,3379,0.0169,75811.0
,States,2023-24,110156.0,100.0,*,,Census,MMR,Michigan,92.1,40,2,3,26,10079338,10072703,10041351,10050877,10083356,-6635,-31352,9526,32479,57103,26588,102780,104459,100976,99589,31068,115239,117941,106040,102444,-4480,-12459,-13482,-5064,-2855,409,7044,33541,55863,67608,-4721,-29240,-8722,-17446,-7656,-4312,-22196,24819,38417,59952,2157,3303,-1811,-874,6,10.219720003,10.397950889,10.030280269,9.8486858192,11.458555297,11.739962338,10.533304149,10.131026218,-1.238835294,-1.342011448,-0.50302388,-0.282340399,0.7004057959,3.3387039008,5.5490566738,6.6859788818,-2.907419857,-0.868196399,-1.732968919,-0.757127179,-2.207014061,2.4705075017,3.8160877546,5.9288517028,10140459,MI,11,96713.51,250487,22,146435,0.5846,2,40174.61,104052,0.4154,56538.9
,States,2023-24,79323.0,95.8,§,,Census,MMR,Tennessee,95.1,40,3,6,47,6912347,6927904,6965740,7062217,7148304,15557,37836,96477,86087,79446,19250,79463,82091,83108,83223,18960,89410,91578,81180,79865,290,-9947,-9487,1928,3358,209,3112,19466,22704,27648,14812,45483,83116,60293,48476,15021,48595,102582,82997,76124,246,-812,3382,1162,-36,11.438755736,11.703913834,11.696685857,11.578003255,12.870633507,13.056498534,11.425337607,11.110837508,-1.431877771,-1.352584699,0.2713482497,0.4671657466,0.4479746278,2.775315037,3.1953789731,3.8463962364,6.5473104104,11.850050581,8.4856846558,6.7439924753,6.9952850383,14.625365618,11.681063629,10.590388712,7227750,TN,36,42144.25,109153,34,106798,0.9784,35,909.36,2355,0.0216,41234.9
,States,2023-24,228213.0,100.0,>=. *,,Census,MMR,Florida,88.1,40,3,5,12,21538192,21592035,21831949,22379312,22904868,53843,239914,547363,525556,467347,50294,207942,221941,224041,220659,56387,250412,260497,231613,227980,-6093,-42470,-38556,-7572,-7321,2842,46853,255915,342211,411322,62600,246571,314467,185067,64017,65442,293424,570382,527278,475339,-5506,-11040,15537,5850,-671,9.5772879798,10.040021252,9.8948904452,9.5364264857,11.533349865,11.784192267,10.22931187,9.8528249933,-1.956061885,-1.744171016,-0.334421425,-0.316398508,2.1579318931,11.576914759,15.11393162,17.77648777,11.35644302,14.225651695,8.1735829157,2.7666825932,13.514374913,25.802566455,23.287514536,20.543170364,23372215,FL,22,65757.7,170312,26,138887,0.8155,3,12132.94,31424,0.1845,53624.76
,States,2023-24,23118.0,100.0,*. ‡,,Census,MMR,Nebraska,93.9,40,2,4,31,1961996,1963387,1964537,1972246,1987864,1391,1150,7709,15618,17601,6046,24411,24248,24611,24443,4450,19527,19385,18408,18308,1596,4884,4863,6203,6135,95,1581,7933,10744,12978,-762,-5984,-4437,-1077,-1498,-667,-4403,3496,9667,11480,462,669,-650,-252,-14,12.429466558,12.318687619,12.429452717,12.241916456,9.9426567316,9.8481425062,9.296711455,9.1692920869,2.4868098263,2.4705451126,3.1327412622,3.0726243693,0.8050053922,4.0301941966,5.4261119009,6.4998401083,-3.046902129,-2.254124751,-0.543924285,-0.750251231,-2.241896737,1.7760694455,4.882187616,5.7495888768,2005465,NE,16,77347.81,200330,15,198974,0.9932,41,523.64,1356,0.0068,76824.17
,States,2023-24,8644.0,88.9,¶,,"Census (pub.), not conducted (prv.)",MMR,Alaska,84.3,40,4,9,2,733395,733017,734420,734442,736510,-378,1403,22,2068,3623,2406,9454,9359,9132,9014,1169,5333,6388,5597,5642,1237,4121,2971,3535,3372,65,873,2818,3391,4029,-1634,-3438,-5832,-4886,-3774,-1569,-2565,-3014,-1495,255,-46,-153,65,28,-4,12.885050602,12.743198476,12.416448667,12.208773549,7.2684551364,8.6978899311,7.6100375811,7.6416574622,5.6165954654,4.045308545,4.8064110862,4.567116087,1.1898296145,3.8369840053,4.6106195172,5.4569723352,-4.68572075,-7.940841277,-6.643316709,-5.111594339,-3.495891135,-4.103857272,-2.032697192,0.3453779959,740133,AK,1,665384.04,1723337,1,1477953,0.8576,1,94743.1,245384,0.1424,570640.95
,States,2023-24,38611.0,100.0,>=. *,,Census,MMR,Iowa,89.1,40,2,4,19,3190546,3191141,3198613,3202820,3218414,595,7472,4207,15594,23074,9104,35887,36825,36475,36301,8028,35432,35586,32979,32472,1076,455,1239,3496,3829,199,3701,10340,16114,19439,-1231,1944,-6290,-3674,-231,-1032,5645,4050,12440,19208,551,1372,-1082,-342,37,11.232670303,11.505236406,11.360744679,11.238870187,11.090254805,11.11813558,10.271857403,10.053403287,0.1424154983,0.3871008257,1.0888872762,1.1854669003,1.1584170533,3.2305266649,5.0189729887,6.018357554,0.6084741291,-1.965184983,-1.144328333,-0.071518113,1.7668911824,1.2653416821,3.8746446555,5.9468394412,3241488,IA,26,56272.81,145746,23,144669,0.9926,45,415.68,1077,0.0074,55857.13
,States,2023-24,5630.0,100.0,*,,Census,MMR,Vermont,92.9,40,1,1,50,643082,642977,647210,648142,648708,-105,4233,932,566,-215,1303,5153,5401,5100,5039,1552,6439,7178,6857,6762,-249,-1286,-1777,-1757,-1723,21,415,1929,1649,2024,-68,4871,1095,773,-511,-47,5286,3024,2422,1513,191,233,-315,-99,-5,7.987989338,8.3390460662,7.8652118595,7.7690350223,9.981498806,11.082701845,10.574854455,10.425523878,-1.993509468,-2.743655779,-2.709642596,-2.656488856,0.6433175966,2.9783410224,2.5430851679,3.1205649703,7.5508434049,1.6906601449,1.1921193662,-0.787850148,8.1941610015,4.6690011673,3.7352045341,2.3327148221,648493,VT,45,9616.36,24906,43,23871,0.9584,46,399.71,1035,0.0416,9216.66
,States,2023-24,569680.0,100.0,*. ‡,,Census,MMR,California,96.2,40,4,9,6,39555674,39521958,39142565,39142414,39198693,-33716,-379393,-151,56279,232570,103133,412507,424071,410377,400601,74572,345285,318719,303733,290135,28561,67222,105352,106644,110466,1372,44127,234953,292721,361057,-67219,-477586,-336707,-344029,-239575,-65847,-433459,-101754,-51308,121482,3570,-13156,-3749,943,622,10.487751893,10.834032414,10.476670951,10.189526241,8.7786714222,8.1425326818,7.7541156011,7.3797574044,1.7090804707,2.691499732,2.7225553502,2.8097688367,1.1219034532,6.0025052827,7.4729860532,9.1837009295,-12.14234783,-8.602084443,-8.782847554,-6.093733538,-11.02044437,-2.599579161,-1.309861501,3.0899673911,39431263,CA,3,163694.74,423967,3,403466,0.9516,6,7915.52,20501,0.0484,155779.22
,States,2023-24,34178.0,37.1,†. ‡. §,,Stratified 1-stage cluster sample,MMR,Kansas,90.4,40,2,4,20,2937745,2938172,2938338,2937324,2951500,427,166,-1014,14176,19106,8510,34168,34399,34698,33963,6966,32753,33207,30190,28731,1544,1415,1192,4508,5232,134,2072,6062,15340,18530,-1882,-4854,-7128,-5358,-4701,-1748,-2782,-1066,9982,13829,631,1533,-1140,-314,45,11.628670759,11.708978495,11.784356265,11.469906145,11.147092407,11.30323698,10.253320527,9.7029671539,0.4815783518,0.4057415147,1.5310357382,1.766938991,0.7051804557,2.0634270658,5.2098687276,6.2579089263,-1.652000933,-2.426279796,-1.819718164,-1.587610894,-0.946820477,-0.36285273,3.3901505632,4.6702980325,2970606,KS,15,82278.36,213100,13,211754,0.9937,42,519.64,1346,0.0063,81758.72
,States,2023-24,63224.0,100.0,>=. *. ‡,,Census,MMR,Maryland,96.6,40,3,5,24,6181629,6177935,6179403,6192440,6217062,-3694,1468,13037,24622,46158,17156,67431,69084,67587,65609,16945,59001,57638,53835,54005,211,8430,11446,13752,11604,505,9038,47782,43758,53100,-5487,-17763,-45928,-32748,-18509,-4982,-8725,1854,11010,34591,1077,1763,-263,-140,-37,10.913515516,11.167939975,10.892781999,10.514025244,9.5491439985,9.3176093489,8.6764158626,8.6544518786,1.3643715176,1.8503306258,2.2163661362,1.8595733654,1.4627745879,7.7243139927,7.0523377973,8.5094231044,-2.874891016,-7.424601169,-5.277891087,-2.966118875,-1.412116428,0.2997128237,1.7744467103,5.5433042298,6263220,MD,42,12405.93,32131,42,25142,0.7825,18,2698.69,6990,0.2175,9707.24
,States,2023-24,51839.0,100.0,*,,Census,MMR,Louisiana,92.4,40,3,7,22,4657874,4652301,4627971,4593687,4588071,-5573,-24330,-34284,-5616,9669,13555,57028,56482,56594,53787,14800,56843,56802,50209,49828,-1245,185,-320,6385,3959,193,3186,13341,19250,23142,-5044,-27819,-47984,-31236,-17405,-4851,-24633,-34643,-11986,5737,523,118,679,-15,-27,12.290157013,12.249857889,12.327486741,11.710887585,12.250287492,12.319259725,10.936685545,10.848905992,0.0398695211,-0.069401836,1.3908011952,0.8619815931,0.686617806,2.8934059363,4.1930967904,5.0386405729,-5.995298414,-10.40680537,-6.803925784,-3.789540194,-5.308680608,-7.513399434,-2.610828994,1.2491003788,4597740,LA,31,52378.13,135659,33,111898,0.8248,5,9174.23,23761,0.1752,43203.9
,States,2023-24,69014.0,100.0,*,,Census,MMR,Missouri,90.4,40,2,4,29,6154854,6154744,6171374,6179414,6208038,-110,16630,8040,28624,37428,17239,68821,68942,68424,67589,16737,75335,75622,68514,66068,502,-6514,-6680,-90,1521,270,3856,11763,19460,23569,-1059,17206,4160,9638,12289,-789,21062,15923,29098,35858,177,2082,-1203,-384,49,11.166694981,11.163984031,11.047308195,10.854615697,12.223637645,12.245696388,11.061839029,10.610347096,-1.056942664,-1.081712357,-0.014530833,0.244268601,0.6256633273,1.9048177331,3.1418890665,3.7851194331,2.7917954379,0.6736412284,1.5560907925,1.9735810901,3.4174587652,2.5784589615,4.697979859,5.7587005232,6245466,MO,21,69706.99,180540,18,178040,0.9861,32,965.47,2501,0.0139,68741.52
